Gene	BF	Recall	Precision	FDR
COL28A1	-10.416	0.994	0.523	0.477
TMC2	-10.416	0.994	0.523	0.477
TAS2R3	-10.417	0.994	0.523	0.477
PHLDB1	-10.417	0.994	0.523	0.477
VPREB1	-10.417	0.994	0.523	0.477
PHF20L1	-10.420	0.994	0.523	0.477
CLDN11	-10.420	0.994	0.523	0.477
SLC12A8	-10.420	0.994	0.523	0.477
AOX1	-10.420	0.994	0.523	0.477
UCMA	-10.421	0.994	0.523	0.477
SLC9A8	-10.421	0.994	0.523	0.477
AC091801.1	-10.422	0.994	0.523	0.477
CIB1	-10.422	0.994	0.523	0.477
VLDLR	-10.423	0.994	0.523	0.477
SLC24A2	-10.424	0.994	0.523	0.477
MCC	-10.424	0.994	0.523	0.477
MBNL3	-10.425	0.994	0.523	0.477
SPINK1	-10.426	0.994	0.523	0.477
ATG16L2	-10.428	0.994	0.523	0.477
CD52	-10.431	0.994	0.523	0.477
XIAP	-10.431	0.994	0.523	0.477
CHRNA2	-10.432	0.994	0.523	0.477
ZNF770	-10.432	0.994	0.523	0.477
OR52E4	-10.432	0.994	0.523	0.477
TMEM50A	-10.433	0.994	0.523	0.477
MVB12A	-10.435	0.994	0.523	0.477
NMUR1	-10.435	0.994	0.523	0.477
C3orf72	-10.435	0.994	0.523	0.477
SLC24A4	-10.436	0.994	0.523	0.477
NUP62CL	-10.438	0.994	0.523	0.477
ERAP1	-10.439	0.994	0.523	0.477
NMNAT1	-10.439	0.994	0.523	0.477
OR10J5	-10.439	0.994	0.523	0.477
GIPC1	-10.441	0.994	0.523	0.477
PRR5L	-10.441	0.994	0.523	0.477
CCDC109B	-10.443	0.994	0.523	0.477
TLX1NB	-10.443	0.994	0.523	0.477
C12orf40	-10.444	0.994	0.522	0.478
KIF7	-10.444	0.994	0.522	0.478
ARSJ	-10.444	0.994	0.522	0.478
TXNDC5	-10.444	0.994	0.522	0.478
GPM6B	-10.445	0.994	0.522	0.478
GALP	-10.445	0.994	0.522	0.478
TMCO1	-10.445	0.994	0.522	0.478
LNPEP	-10.447	0.994	0.522	0.478
CREB3L3	-10.447	0.994	0.522	0.478
SH2D6	-10.448	0.994	0.522	0.478
THBD	-10.448	0.994	0.522	0.478
OR5AR1	-10.449	0.994	0.522	0.478
ARID5A	-10.449	0.994	0.522	0.478
CDC42EP5	-10.449	0.994	0.522	0.478
FCAR	-10.450	0.994	0.522	0.478
CCDC73	-10.452	0.994	0.522	0.478
FSCB	-10.452	0.994	0.522	0.478
LRRFIP1	-10.452	0.994	0.522	0.478
CTXN2	-10.452	0.994	0.522	0.478
UBE2D1	-10.454	0.994	0.522	0.478
ACSBG1	-10.454	0.994	0.522	0.478
EDEM2	-10.454	0.994	0.522	0.478
TAAR8	-10.456	0.994	0.521	0.479
GRIN2B	-10.456	0.994	0.521	0.479
PSKH1	-10.456	0.994	0.521	0.479
LYZ	-10.457	0.994	0.521	0.479
MARCH10	-10.458	0.994	0.521	0.479
HEPACAM2	-10.459	0.994	0.521	0.479
OTOA	-10.459	0.994	0.521	0.479
BAHD1	-10.460	0.994	0.521	0.479
RRM2B	-10.461	0.994	0.521	0.479
GPR137B	-10.461	0.994	0.521	0.479
FAM133A	-10.463	0.994	0.521	0.479
DDAH1	-10.464	0.994	0.521	0.479
NET1	-10.465	0.994	0.521	0.479
GPX6	-10.465	0.994	0.521	0.479
GIPC2	-10.465	0.994	0.521	0.479
STX6	-10.467	0.994	0.521	0.479
ADAMTS13	-10.467	0.994	0.521	0.479
ABCA4	-10.468	0.994	0.521	0.479
HTRA3	-10.468	0.994	0.521	0.479
PCDH20	-10.470	0.994	0.521	0.479
SPRED2	-10.472	0.994	0.521	0.479
CCL15	-10.473	0.994	0.521	0.479
CLDN1	-10.474	0.994	0.521	0.479
STARD3NL	-10.474	0.994	0.521	0.479
GCG	-10.474	0.994	0.520	0.480
ZHX1	-10.475	0.994	0.520	0.480
CMBL	-10.476	0.994	0.520	0.480
NLRP2	-10.478	0.994	0.520	0.480
ELFN2	-10.479	0.994	0.520	0.480
CNOT8	-10.479	0.994	0.520	0.480
LRRC3B	-10.480	0.994	0.520	0.480
ANKRD22	-10.481	0.994	0.520	0.480
RAMP3	-10.481	0.994	0.520	0.480
ZC3HAV1L	-10.486	0.994	0.520	0.480
LYSMD4	-10.486	0.994	0.520	0.480
NRN1L	-10.487	0.994	0.520	0.480
NXPE1	-10.487	0.994	0.520	0.480
VN1R1	-10.487	0.994	0.520	0.480
ALPI	-10.489	0.994	0.520	0.480
KCNG1	-10.489	0.994	0.520	0.480
CRYGN	-10.491	0.994	0.520	0.480
KLHDC1	-10.491	0.994	0.520	0.480
TMPRSS9	-10.495	0.994	0.520	0.480
SUSD2	-10.495	0.994	0.520	0.480
CCDC180	-10.495	0.994	0.520	0.480
IRS2	-10.498	0.994	0.520	0.480
C3orf62	-10.498	0.994	0.520	0.480
MAPK6	-10.499	0.994	0.520	0.480
F8	-10.499	0.994	0.520	0.480
CDKN1B	-10.499	0.994	0.520	0.480
MAGI1	-10.501	0.994	0.520	0.480
HAND1	-10.501	0.994	0.520	0.480
OR4X1	-10.501	0.994	0.520	0.480
GMPPA	-10.502	0.994	0.520	0.480
CUTC	-10.502	0.994	0.520	0.480
LGALS2	-10.503	0.994	0.520	0.480
TAGAP	-10.503	0.994	0.520	0.480
LAP3	-10.504	0.994	0.520	0.480
CSF2	-10.506	0.994	0.520	0.480
OAS3	-10.507	0.994	0.520	0.480
FABP1	-10.507	0.994	0.520	0.480
LIPF	-10.507	0.994	0.520	0.480
GSTCD	-10.509	0.994	0.520	0.480
SPO11	-10.511	0.994	0.520	0.480
ELOVL7	-10.512	0.994	0.520	0.480
HMGN5	-10.513	0.994	0.520	0.480
DYM	-10.516	0.994	0.520	0.480
SYCP2L	-10.516	0.994	0.520	0.480
HIST1H2AC	-10.517	0.994	0.520	0.480
GALR1	-10.518	0.994	0.519	0.481
SPAG17	-10.519	0.994	0.519	0.481
PEG3	-10.519	0.994	0.519	0.481
IFT74	-10.520	0.994	0.519	0.481
KRTAP12-3	-10.521	0.994	0.519	0.481
SNX16	-10.523	0.994	0.519	0.481
KCNT1	-10.524	0.994	0.519	0.481
C19orf47	-10.524	0.994	0.519	0.481
HOXC6	-10.524	0.994	0.519	0.481
SLC17A2	-10.525	0.994	0.519	0.481
CRYAA	-10.525	0.994	0.519	0.481
DUS4L	-10.527	0.994	0.519	0.481
GLA	-10.527	0.994	0.519	0.481
SUN3	-10.528	0.994	0.519	0.481
METRNL	-10.531	0.994	0.519	0.481
DHRS3	-10.531	0.994	0.519	0.481
CHRNA1	-10.532	0.994	0.519	0.481
G0S2	-10.533	0.994	0.519	0.481
DHRS12	-10.534	0.994	0.519	0.481
TLR3	-10.535	0.994	0.519	0.481
NIPSNAP1	-10.535	0.994	0.519	0.481
OR7G1	-10.535	0.994	0.519	0.481
TG	-10.535	0.994	0.519	0.481
SRPX	-10.536	0.994	0.519	0.481
MEOX2	-10.536	0.994	0.519	0.481
CACFD1	-10.537	0.994	0.519	0.481
YTHDF1	-10.537	0.994	0.519	0.481
FBXO18	-10.538	0.994	0.519	0.481
RP11-770J1.4	-10.539	0.994	0.519	0.481
GMCL1	-10.540	0.994	0.519	0.481
GVQW1	-10.540	0.994	0.519	0.481
VDAC3	-10.541	0.994	0.519	0.481
SNAP47	-10.541	0.994	0.519	0.481
TOX3	-10.542	0.994	0.519	0.481
KLHL24	-10.543	0.994	0.519	0.481
PRSS35	-10.543	0.994	0.519	0.481
MLH3	-10.543	0.994	0.519	0.481
CITED1	-10.543	0.994	0.519	0.481
TRIM39	-10.543	0.994	0.519	0.481
PDE6D	-10.544	0.994	0.519	0.481
TANC1	-10.545	0.994	0.519	0.481
NGFR	-10.546	0.994	0.519	0.481
NAV1	-10.546	0.994	0.519	0.481
SLC12A6	-10.546	0.994	0.519	0.481
MRPL17	-10.546	0.994	0.519	0.481
PXDNL	-10.546	0.994	0.519	0.481
GUCY1A3	-10.547	0.994	0.519	0.481
OR10H5	-10.547	0.994	0.519	0.481
C1QC	-10.547	0.994	0.519	0.481
SLC35G3	-10.547	0.994	0.519	0.481
DNTT	-10.549	0.994	0.519	0.481
NDUFV3	-10.549	0.994	0.519	0.481
CD97	-10.549	0.994	0.519	0.481
YWHAB	-10.550	0.994	0.519	0.481
TMEM159	-10.551	0.994	0.519	0.481
RIBC2	-10.552	0.994	0.519	0.481
FOXA3	-10.552	0.994	0.519	0.481
KLB	-10.553	0.994	0.519	0.481
NUTM1	-10.554	0.994	0.519	0.481
WNK4	-10.554	0.994	0.519	0.481
MTFR1L	-10.555	0.994	0.519	0.481
SERPINA7	-10.555	0.994	0.518	0.482
SPNS2	-10.555	0.994	0.518	0.482
LPPR4	-10.556	0.994	0.518	0.482
ZNF71	-10.557	0.994	0.518	0.482
CRISPLD2	-10.558	0.994	0.518	0.482
TOM1L2	-10.560	0.994	0.518	0.482
CEPT1	-10.560	0.994	0.518	0.482
BDH1	-10.561	0.994	0.518	0.482
FAM20A	-10.561	0.994	0.518	0.482
PTCHD2	-10.562	0.994	0.518	0.482
FAIM	-10.563	0.994	0.518	0.482
KCNH8	-10.565	0.994	0.518	0.482
MORC4	-10.566	0.994	0.518	0.482
ECM1	-10.567	0.994	0.518	0.482
SDR9C7	-10.568	0.994	0.518	0.482
KIAA0368	-10.568	0.994	0.518	0.482
LGALS12	-10.569	0.994	0.518	0.482
APOA5	-10.570	0.994	0.518	0.482
MKKS	-10.570	0.994	0.518	0.482
BTN3A3	-10.573	0.994	0.518	0.482
FAM155A	-10.573	0.994	0.518	0.482
EML4	-10.574	0.994	0.518	0.482
LIMCH1	-10.575	0.994	0.518	0.482
STXBP3	-10.575	0.994	0.518	0.482
IVL	-10.579	0.994	0.518	0.482
RPL36A	-10.581	0.994	0.518	0.482
MORN5	-10.581	0.994	0.518	0.482
PLAT	-10.582	0.994	0.518	0.482
FBXO8	-10.583	0.994	0.518	0.482
STK32C	-10.584	0.994	0.518	0.482
SLC30A9	-10.585	0.994	0.518	0.482
RASSF4	-10.585	0.994	0.518	0.482
L3MBTL1	-10.586	0.994	0.518	0.482
C12orf61	-10.586	0.994	0.518	0.482
ANO10	-10.588	0.994	0.518	0.482
SLC51B	-10.588	0.994	0.518	0.482
KCNMB3	-10.588	0.994	0.518	0.482
KBTBD7	-10.588	0.994	0.518	0.482
FOXD3	-10.589	0.994	0.518	0.482
PLIN2	-10.589	0.994	0.518	0.482
ZNF561	-10.590	0.994	0.518	0.482
PRPS1	-10.593	0.994	0.518	0.482
ASCC2	-10.595	0.994	0.518	0.482
SHCBP1L	-10.595	0.994	0.517	0.483
F13A1	-10.595	0.994	0.517	0.483
CCL26	-10.595	0.994	0.517	0.483
CELF4	-10.595	0.994	0.517	0.483
SCOC	-10.597	0.994	0.517	0.483
NFE2L1	-10.597	0.994	0.517	0.483
TSHZ2	-10.599	0.994	0.517	0.483
NUCKS1	-10.601	0.994	0.517	0.483
OSBPL1A	-10.601	0.994	0.517	0.483
PIWIL2	-10.601	0.994	0.517	0.483
MT3	-10.601	0.994	0.517	0.483
OR1L3	-10.601	0.994	0.517	0.483
ZNF124	-10.602	0.994	0.517	0.483
SLC34A1	-10.602	0.994	0.517	0.483
WEE2	-10.602	0.994	0.517	0.483
RGS22	-10.604	0.994	0.517	0.483
ZNF48	-10.604	0.994	0.517	0.483
MALT1	-10.604	0.994	0.517	0.483
THBS1	-10.607	0.994	0.517	0.483
CALCB	-10.607	0.994	0.517	0.483
C14orf132	-10.607	0.994	0.517	0.483
SIKE1	-10.608	0.994	0.517	0.483
NMRK1	-10.608	0.994	0.517	0.483
WNT7B	-10.608	0.994	0.517	0.483
OPALIN	-10.609	0.994	0.517	0.483
HMGB2	-10.610	0.994	0.517	0.483
KCND2	-10.610	0.994	0.517	0.483
ZNF639	-10.610	0.994	0.517	0.483
FAM69C	-10.611	0.994	0.517	0.483
RIT2	-10.612	0.994	0.517	0.483
OR52N1	-10.612	0.994	0.517	0.483
DUSP3	-10.614	0.994	0.517	0.483
LPAR4	-10.614	0.994	0.517	0.483
MYOD1	-10.618	0.994	0.517	0.483
STRA6	-10.619	0.994	0.517	0.483
TAOK3	-10.619	0.994	0.517	0.483
ATP13A4	-10.619	0.994	0.517	0.483
C1orf61	-10.623	0.994	0.517	0.483
TSPAN14	-10.623	0.994	0.517	0.483
ARMC2	-10.623	0.994	0.517	0.483
AP3S2	-10.628	0.994	0.517	0.483
FBXO45	-10.628	0.994	0.517	0.483
CD93	-10.630	0.994	0.517	0.483
CCNJ	-10.631	0.994	0.517	0.483
PDLIM4	-10.631	0.994	0.517	0.483
TRIM55	-10.631	0.994	0.517	0.483
RIPPLY3	-10.631	0.994	0.517	0.483
CLN8	-10.632	0.994	0.517	0.483
GOLGA6L2	-10.633	0.994	0.516	0.484
ZNF418	-10.633	0.994	0.516	0.484
SENP5	-10.634	0.994	0.516	0.484
HOXD3	-10.637	0.994	0.516	0.484
NTNG2	-10.637	0.994	0.516	0.484
AFF3	-10.637	0.994	0.516	0.484
TTC12	-10.638	0.994	0.516	0.484
PLA2G4D	-10.638	0.994	0.516	0.484
DEFB116	-10.639	0.994	0.516	0.484
OR7A17	-10.639	0.994	0.516	0.484
CAPN13	-10.639	0.994	0.516	0.484
DMXL2	-10.641	0.994	0.516	0.484
ATXN3L	-10.642	0.994	0.516	0.484
ZCCHC4	-10.643	0.994	0.516	0.484
ZNF416	-10.646	0.994	0.516	0.484
ZIM2	-10.648	0.994	0.516	0.484
DMRT3	-10.650	0.994	0.516	0.484
GPR141	-10.650	0.994	0.516	0.484
KLHL26	-10.652	0.994	0.516	0.484
CRB2	-10.652	0.994	0.516	0.484
FN1	-10.653	0.994	0.516	0.484
TMEM125	-10.653	0.994	0.516	0.484
CTNNA2	-10.654	0.994	0.516	0.484
CAMKMT	-10.654	0.994	0.516	0.484
KRTAP1-5	-10.655	0.994	0.516	0.484
OR13H1	-10.657	0.994	0.516	0.484
DEFA6	-10.657	0.994	0.515	0.485
OAS1	-10.657	0.994	0.515	0.485
MAP2K4	-10.659	0.994	0.515	0.485
IL12B	-10.659	0.994	0.515	0.485
ANKRD46	-10.661	0.994	0.515	0.485
EBF4	-10.661	0.994	0.515	0.485
ABLIM3	-10.661	0.994	0.515	0.485
PLEKHG1	-10.661	0.994	0.515	0.485
ADH4	-10.661	0.994	0.515	0.485
RWDD2A	-10.662	0.994	0.515	0.485
FCRL6	-10.662	0.994	0.515	0.485
PLXDC2	-10.663	0.994	0.515	0.485
KHDC1L	-10.663	0.994	0.515	0.485
KCNN3	-10.666	0.994	0.515	0.485
TMEM209	-10.666	0.994	0.515	0.485
CCSER1	-10.668	0.994	0.515	0.485
CBLN4	-10.668	0.994	0.515	0.485
DENND3	-10.668	0.994	0.515	0.485
CHRNA9	-10.669	0.994	0.515	0.485
C16orf58	-10.670	0.994	0.515	0.485
MSI1	-10.671	0.994	0.515	0.485
SLC16A14	-10.673	0.994	0.515	0.485
FUCA2	-10.674	0.994	0.515	0.485
VKORC1	-10.674	0.994	0.515	0.485
ALDH3A2	-10.677	0.994	0.515	0.485
TAS2R7	-10.677	0.994	0.515	0.485
UMODL1	-10.679	0.994	0.515	0.485
SPATA32	-10.679	0.994	0.514	0.486
POU3F3	-10.679	0.994	0.514	0.486
ADAM29	-10.681	0.994	0.514	0.486
POM121L12	-10.681	0.994	0.514	0.486
TRIM71	-10.681	0.994	0.514	0.486
WBP2NL	-10.681	0.994	0.514	0.486
TSSK3	-10.682	0.994	0.514	0.486
KRT2	-10.682	0.994	0.513	0.487
ASB2	-10.682	0.994	0.513	0.487
AMBN	-10.683	0.994	0.513	0.487
NEFM	-10.684	0.994	0.513	0.487
MYH15	-10.685	0.994	0.513	0.487
FAM129B	-10.685	0.994	0.513	0.487
OTUD6A	-10.685	0.994	0.513	0.487
KIF5B	-10.686	0.994	0.513	0.487
EYA2	-10.686	0.994	0.513	0.487
PTF1A	-10.687	0.994	0.512	0.488
DNAJC25	-10.689	0.994	0.512	0.488
SCN8A	-10.690	0.994	0.512	0.488
NOD2	-10.690	0.994	0.512	0.488
CSTF2	-10.692	0.994	0.512	0.488
SLITRK2	-10.693	0.994	0.512	0.488
LCORL	-10.695	0.994	0.512	0.488
ZNF618	-10.696	0.994	0.512	0.488
BICC1	-10.696	0.994	0.512	0.488
FAM47E	-10.697	0.994	0.512	0.488
PIP4K2A	-10.697	0.994	0.512	0.488
SEMA6A	-10.698	0.994	0.512	0.488
FAM78B	-10.698	0.994	0.512	0.488
TRIM5	-10.699	0.994	0.512	0.488
FGF2	-10.699	0.994	0.512	0.488
VAV2	-10.699	0.994	0.512	0.488
CBR3	-10.700	0.994	0.512	0.488
SLC35E4	-10.700	0.994	0.512	0.488
L3MBTL4	-10.700	0.994	0.512	0.488
KCNN2	-10.701	0.994	0.512	0.488
VRK2	-10.701	0.994	0.512	0.488
VNN1	-10.703	0.994	0.512	0.488
MAFB	-10.703	0.994	0.512	0.488
SEC24D	-10.704	0.994	0.512	0.488
IGSF23	-10.704	0.994	0.512	0.488
DENND4A	-10.705	0.994	0.512	0.488
ARNT2	-10.706	0.994	0.512	0.488
PPP1R3B	-10.707	0.994	0.512	0.488
APOBEC3C	-10.708	0.994	0.512	0.488
GRHL1	-10.709	0.994	0.512	0.488
ABHD17C	-10.710	0.994	0.512	0.488
ATF6B	-10.712	0.994	0.512	0.488
RASL11A	-10.714	0.994	0.512	0.488
EFCAB1	-10.715	0.994	0.512	0.488
FAM46D	-10.716	0.994	0.512	0.488
DNAJC6	-10.716	0.994	0.512	0.488
ARMCX1	-10.717	0.994	0.512	0.488
NEIL3	-10.719	0.994	0.512	0.488
ZC3H12A	-10.719	0.994	0.512	0.488
CLEC4E	-10.721	0.994	0.512	0.488
SPRY1	-10.721	0.994	0.512	0.488
MFRP	-10.721	0.994	0.512	0.488
CPA2	-10.721	0.994	0.512	0.488
FAM114A2	-10.723	0.994	0.512	0.488
HLA-DQB2	-10.723	0.994	0.512	0.488
SLC7A1	-10.723	0.994	0.512	0.488
STARD5	-10.726	0.994	0.512	0.488
BARX1	-10.727	0.994	0.512	0.488
CDH22	-10.728	0.994	0.512	0.488
SNTG1	-10.730	0.994	0.512	0.488
HTR3D	-10.734	0.994	0.512	0.488
GMFB	-10.735	0.994	0.512	0.488
SLC16A9	-10.736	0.994	0.512	0.488
PEX6	-10.737	0.994	0.512	0.488
EPHX4	-10.739	0.994	0.512	0.488
CORIN	-10.739	0.994	0.512	0.488
SVEP1	-10.740	0.994	0.512	0.488
SPATS2L	-10.744	0.994	0.512	0.488
BCL2	-10.744	0.994	0.512	0.488
LACTB	-10.745	0.994	0.512	0.488
B3GALT1	-10.746	0.994	0.512	0.488
SPR	-10.747	0.994	0.512	0.488
APBB2	-10.748	0.994	0.512	0.488
SHC4	-10.748	0.994	0.512	0.488
GABRE	-10.749	0.994	0.512	0.488
IKZF3	-10.750	0.994	0.512	0.488
ARID3C	-10.750	0.994	0.512	0.488
TREX1	-10.751	0.994	0.512	0.488
C8orf4	-10.752	0.994	0.512	0.488
QRICH2	-10.752	0.994	0.512	0.488
AHSP	-10.754	0.994	0.512	0.488
TNFRSF14	-10.756	0.994	0.512	0.488
CDHR3	-10.757	0.994	0.512	0.488
SYBU	-10.759	0.994	0.512	0.488
ADRB2	-10.759	0.994	0.512	0.488
CDC42BPA	-10.760	0.994	0.512	0.488
TRABD2B	-10.760	0.994	0.512	0.488
SEC61A2	-10.760	0.994	0.512	0.488
FGFBP2	-10.760	0.994	0.512	0.488
AK7	-10.761	0.994	0.512	0.488
CDKL2	-10.762	0.994	0.512	0.488
METTL9	-10.762	0.994	0.512	0.488
BPGM	-10.763	0.994	0.512	0.488
KIFAP3	-10.764	0.994	0.512	0.488
ZBTB32	-10.766	0.994	0.512	0.488
LRRC40	-10.766	0.994	0.512	0.488
CABLES1	-10.766	0.994	0.512	0.488
MTCP1	-10.767	0.994	0.512	0.488
SPINK2	-10.767	0.994	0.512	0.488
FAM105A	-10.768	0.994	0.512	0.488
ABHD12	-10.768	0.994	0.512	0.488
IFT20	-10.769	0.994	0.512	0.488
EXTL3	-10.770	0.994	0.512	0.488
FOXO4	-10.772	0.994	0.512	0.488
TMEM5	-10.773	0.994	0.512	0.488
OR4K1	-10.774	0.994	0.512	0.488
TNFAIP2	-10.774	0.994	0.512	0.488
PPP2R1B	-10.775	0.994	0.512	0.488
CLDN14	-10.776	0.994	0.512	0.488
LGALS8	-10.776	0.994	0.512	0.488
ZGPAT	-10.777	0.994	0.512	0.488
GAL3ST1	-10.777	0.994	0.512	0.488
ABCF3	-10.779	0.994	0.512	0.488
ZSWIM7	-10.779	0.994	0.512	0.488
SULT4A1	-10.780	0.994	0.512	0.488
CDH9	-10.781	0.994	0.512	0.488
C14orf39	-10.782	0.994	0.512	0.488
CHST5	-10.782	0.994	0.512	0.488
MFSD7	-10.782	0.994	0.512	0.488
CRYGA	-10.782	0.994	0.512	0.488
PRICKLE1	-10.783	0.994	0.512	0.488
RPS6KC1	-10.783	0.994	0.512	0.488
KIR3DL3	-10.783	0.994	0.511	0.489
ACTRT2	-10.784	0.994	0.511	0.489
ZNF333	-10.784	0.994	0.511	0.489
CYP2C19	-10.784	0.994	0.511	0.489
GDF3	-10.786	0.994	0.511	0.489
FER	-10.787	0.994	0.511	0.489
FAM53B	-10.789	0.994	0.511	0.489
SYTL5	-10.792	0.994	0.511	0.489
OPN5	-10.793	0.994	0.510	0.490
SHPK	-10.793	0.994	0.510	0.490
OR5H2	-10.793	0.994	0.510	0.490
CADM3	-10.794	0.994	0.510	0.490
FUT1	-10.795	0.994	0.510	0.490
BCL2L10	-10.796	0.994	0.510	0.490
ANKMY1	-10.796	0.994	0.510	0.490
KISS1R	-10.797	0.994	0.510	0.490
PMS1	-10.798	0.994	0.510	0.490
KIAA1715	-10.798	0.994	0.510	0.490
CTXN3	-10.799	0.994	0.510	0.490
DCDC1	-10.799	0.994	0.510	0.490
POGK	-10.800	0.994	0.510	0.490
CPXCR1	-10.801	0.994	0.510	0.490
PALMD	-10.801	0.994	0.510	0.490
CDK20	-10.801	0.994	0.510	0.490
EDF1	-10.802	0.994	0.510	0.490
MAPK8	-10.802	0.994	0.510	0.490
C2orf53	-10.803	0.994	0.510	0.490
PKDREJ	-10.807	0.994	0.510	0.490
MPP1	-10.809	0.994	0.510	0.490
CORO1C	-10.809	0.994	0.510	0.490
OR6F1	-10.813	0.994	0.510	0.490
KCNAB1	-10.814	0.994	0.510	0.490
KIAA0141	-10.815	0.994	0.510	0.490
OR10X1	-10.815	0.994	0.510	0.490
CREG1	-10.816	0.994	0.510	0.490
TMTC3	-10.817	0.994	0.510	0.490
BMF	-10.818	0.994	0.510	0.490
MCOLN1	-10.819	0.994	0.510	0.490
C1QTNF7	-10.819	0.994	0.510	0.490
FHL3	-10.819	0.994	0.510	0.490
GRAMD3	-10.821	0.994	0.510	0.490
NAPEPLD	-10.822	0.994	0.510	0.490
C17orf72	-10.827	0.994	0.510	0.490
ZMYM3	-10.828	0.994	0.510	0.490
SLC34A3	-10.829	0.994	0.510	0.490
ZNF570	-10.830	0.994	0.510	0.490
WISP1	-10.831	0.994	0.510	0.490
SPATA9	-10.832	0.994	0.510	0.490
CYB5R4	-10.832	0.994	0.510	0.490
CERCAM	-10.836	0.994	0.510	0.490
PATE1	-10.836	0.994	0.510	0.490
SUSD4	-10.837	0.994	0.510	0.490
ATP1A3	-10.838	0.994	0.510	0.490
TMEM123	-10.840	0.994	0.510	0.490
FSHR	-10.840	0.994	0.510	0.490
C4orf3	-10.840	0.994	0.510	0.490
BAIAP3	-10.841	0.994	0.510	0.490
C6orf201	-10.841	0.994	0.510	0.490
ZNF550	-10.842	0.994	0.510	0.490
AIRE	-10.842	0.994	0.510	0.490
GUCA2A	-10.842	0.994	0.509	0.491
SRCIN1	-10.844	0.994	0.509	0.491
IGLL5	-10.847	0.994	0.509	0.491
SLC35G2	-10.848	0.994	0.509	0.491
DTNB	-10.848	0.994	0.509	0.491
HP	-10.848	0.994	0.509	0.491
SLC25A12	-10.849	0.994	0.509	0.491
KRTAP22-2	-10.849	0.994	0.509	0.491
OXTR	-10.850	0.994	0.509	0.491
NFKB1	-10.850	0.994	0.509	0.491
ZBP1	-10.851	0.994	0.509	0.491
ADAMTSL2	-10.851	0.994	0.509	0.491
GALNTL6	-10.851	0.994	0.509	0.491
CNN1	-10.852	0.994	0.509	0.491
PDC	-10.854	0.994	0.509	0.491
CHM	-10.854	0.994	0.509	0.491
ECH1	-10.854	0.994	0.509	0.491
KLLN	-10.854	0.994	0.509	0.491
TSPYL6	-10.856	0.994	0.509	0.491
OR14K1	-10.858	0.994	0.509	0.491
MSC	-10.858	0.994	0.509	0.491
TSC22D1	-10.859	0.994	0.509	0.491
CASQ2	-10.862	0.994	0.509	0.491
OPRM1	-10.863	0.994	0.509	0.491
DMGDH	-10.864	0.994	0.509	0.491
TUBB1	-10.865	0.994	0.509	0.491
LIM2	-10.865	0.994	0.508	0.492
C19orf81	-10.865	0.994	0.508	0.492
CCNB3	-10.866	0.994	0.508	0.492
ALDH9A1	-10.866	0.994	0.508	0.492
KPNA7	-10.867	0.994	0.508	0.492
GPHN	-10.868	0.994	0.508	0.492
TKTL2	-10.868	0.994	0.508	0.492
OR5W2	-10.868	0.994	0.508	0.492
CAPS2	-10.870	0.994	0.508	0.492
ZNF227	-10.870	0.994	0.508	0.492
C8orf56	-10.871	0.994	0.508	0.492
ANO5	-10.872	0.994	0.508	0.492
DOC2B	-10.872	0.994	0.508	0.492
MLK4	-10.872	0.994	0.508	0.492
ZBTB40	-10.874	0.994	0.508	0.492
SNRPN	-10.876	0.994	0.508	0.492
HEPH	-10.877	0.994	0.508	0.492
PITHD1	-10.879	0.994	0.508	0.492
TNFRSF10B	-10.880	0.994	0.508	0.492
ETHE1	-10.881	0.994	0.508	0.492
NCLN	-10.882	0.994	0.508	0.492
ZNF726	-10.882	0.994	0.508	0.492
PDHX	-10.883	0.994	0.508	0.492
RSPH3	-10.883	0.994	0.508	0.492
RAB33B	-10.883	0.994	0.508	0.492
CRIPAK	-10.883	0.994	0.508	0.492
KANK1	-10.885	0.994	0.508	0.492
SCNN1G	-10.886	0.994	0.508	0.492
PTGFR	-10.887	0.994	0.508	0.492
COBL	-10.888	0.994	0.508	0.492
KIF12	-10.891	0.994	0.508	0.492
ZNF699	-10.892	0.994	0.508	0.492
TNR	-10.892	0.994	0.507	0.493
C18orf25	-10.892	0.994	0.507	0.493
WNT8A	-10.892	0.994	0.507	0.493
CLEC9A	-10.893	0.994	0.507	0.493
HAMP	-10.893	0.994	0.507	0.493
CCDC25	-10.893	0.994	0.507	0.493
RAB12	-10.897	0.994	0.507	0.493
SATB2	-10.898	0.994	0.507	0.493
ENC1	-10.899	0.994	0.507	0.493
FAM150B	-10.899	0.994	0.507	0.493
EDDM3B	-10.900	0.994	0.507	0.493
CXCL5	-10.900	0.994	0.507	0.493
LRTM2	-10.901	0.994	0.507	0.493
SLFN5	-10.902	0.994	0.507	0.493
MND1	-10.903	0.994	0.507	0.493
TMED5	-10.907	0.994	0.507	0.493
STAC	-10.907	0.994	0.507	0.493
TM9SF1	-10.908	0.994	0.507	0.493
TRIP4	-10.909	0.994	0.507	0.493
CTAG2	-10.910	0.994	0.507	0.493
OR4P4	-10.910	0.994	0.507	0.493
GJB4	-10.912	0.994	0.507	0.493
KLHL21	-10.914	0.994	0.507	0.493
ZYG11A	-10.915	0.994	0.507	0.493
XK	-10.916	0.994	0.507	0.493
ARSH	-10.919	0.994	0.507	0.493
DSG4	-10.920	0.994	0.507	0.493
C6orf136	-10.920	0.994	0.507	0.493
